A = {0,1,2,3}. —чита€ непустое слово – записью числа в четверичной системе счислени€, определить, €вл€етс€  оно четным числом или нет. ќтвет: 1 (да) или 0.;;;;;;;;;;;
;;;;;;;;;;;
;0;1;2;3;_;комментарий :;;;;;
q0;0,R,q0;1,R,q0;2,R,q0;3,R,q0;,L,q1;листаем до _;;;;;
q1;0,N,q2;1,N,q3;2,N,q2;3,N,q3;;при четном в q2, при нечетном в q3;;;;;
q2;,L,q2;,L,q2;,L,q2;,L,q2;1,N,!;;;;;;
q3;,L,q3;,L,q3;,L,q3;,L,q3;0,N,!;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;123;;;;;122;;;;
;q0;123;1,R,q0;;;q0;122;1,R,q0;;;
;q0;123;2,R,q0;;;q0;122;2,R,q0;;;
;q0;123;3,R,q0;;;q0;122;2,R,q0;;;
;q0;123_;,L,q1;;;q0;122_;,L,q1;;;
;q1;123;3,N,q3;;;q1;122;2,N,q2;;;
;q3;123;,L,q3;;;q3;122;,L,q2;;;
;q3;12;,L,q3;;;q3;12;,L,q2;;;
;q3;1;,L,q3;;;q3;1;,L,q2;;;
;q3;_;0,N,!;;;q3;_;1,N,!;;;
;!;0;;;;!;1;;;;
