;a;b;_
q1;a,,q2;b,,q9;,,!
q2;,R,;,R,;_,R,q3
q3;,,;,,;a,R,q4
q4;,,;,,;a,,q5
q5;,L,;,L,;_,L,q6
q6;a,,q7;b,,q7;,L,
q7;,L,;,L,;_,R,q8
q8;_,R,q16;_,R,q16;,,!
q9;,R,;,R,;_,R,q10
q10;,,;,,;b,R,q11
q11;,,;,,;b,,q12
q12;,L,;,L,;_,L,q13
q13;a,,q14;b,,q14;,L,
q14;,L,;,L,;_,R,q15
q15;_,R,q16;_,R,q16;,,!
q16;a,,q17;b,,q25;_,,q33
q17;,R,;,R,;_,R,q18
q18;a,,q19;b,,q19;,R,
q19;,R,;,R,;a,R,q20
q20;,,;,,;a,,q21
q21;,L,;,L,;_,L,q22
q22;a,,q23;b,,q23;,L,
q23;,L,;,L,;_,R,q24
q24;_,R,q16;_,R,q16;,,!
q25;,R,;,R,;_,R,q26
q26;a,,q27;b,,q27;,R,
q27;,R,;,R,;b,R,q28
q28;,,;,,;b,,q29
q29;,L,;,L,;_,L,q30
q30;a,,q31;b,,q31;,L,
q31;,L,;,L,;_,R,q32
q32;_,R,q16;_,R,q16;,,!
q33;,,!;,,!;,R,
