;a;b;A;B;_
q0;,R,;,R,;,,;,,;,L,q1
q1;a,L,q2;b,L,q2;,,;,,;,,
q2;a,R,q3;b,R,q3;,,;,,;,R,q4
q3;,R,q5;,R,q6;,,;,,;,,
q4;,R,q7;,R,q8;,,;,,;,,
q5;,,;,,;,,;,,;A,L,q9
q6;,,;,,;,,;,,;B,L,q9
q7;,,;,,;,,;,,;A,N,q22
q8;,,;,,;,,;,,;B,N,q22
q9;,,;,,;,L,;,L,;,L,q10
q10;a,L,q11;b,L,q11;,,;,,;,L,
q11;a,R,q12;b,R,q12;,,;,,;,R,q13
q12;,R,q14;,R,q15;,,;,,;,,
q13;,R,q16;,R,q17;,,;,,;,,
q14;,,;,,;A,R,q18;B,R,q18;,R,
q15;,,;,,;A,R,q19;B,R,q19;,R,
q16;,,;,,;A,R,q20;B,R,q20;,R,
q17;,,;,,;A,R,q21;B,R,q21;,R,
q18;,,;,,;,R,;,R,;A,L,q9
q19;,,;,,;,R,;,R,;B,L,q9
q20;,,;,,;,R,;,R,;A,N,q22
q21;,,;,,;,R,;,R,;B,N,q22
q22;,,;,,;a,L,q22;b,L,q22;,,!
