A = {a,b,c}. Если в слово Р не входит символ а, то заменить в Р все символы b на с, иначе в качестве ответа выдать слово из  одного символа а;;;;;;;;;;;
;;;;;;;;;;;
;a;b;c;_;комментарий :;;;;;;
q0;a,R,q1;b,R,q0;b,R,q0;,L,q2;ищем наличие символов а в слове;;;;;;
q1;,N,q1;b,R,q1;c,R,q1;,L,q3;удаляем лишние символы а;;;;;;
q2;;c,L,q2;c,L,q2;!;меняем все символы на с;;;;;;
q3;a,L,q4;,L,q3;,L,q3;,L,q3;удаляем все символы до а;;;;;;
q4;;,L,q3;,L,q3;!;удаляем лишние символы после а;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;bcaba;;;;;;;bcb;;
1;q0;bcaba;b,R,q0;;;;1;q0;bcb;b,R,q0;
2;q0;bcaba;c,R,q0;;;;2;q0;bcb;c,R,q0;
3;q0;bcaba;a,R,q1;;;;3;q0;bcb;b,R,q0;
4;q1;bcaba;b,R,q1;;;;4;q0;bcb_;,L,q2;
5;q1;bcaba;,N,q1;;;;5;q2;bcb;c,L,q2;
6;q1;bcab_;,L,q3;;;;6;q2;bcc;c,L,q2;
7;q3;bcab ;,L,q3;;;;7;q2;bcc;c,L,q2;
8;q3;bca;a,L,q4;;;;8;q2;_ccc;!;
9;q4;bca;,L,q4;;;;9;!;ccc;;
10;q4;b_a;,L,q4;;;;;;;;
11;q4;___a;!;;;;;;;;
12;!;a;;;;;;;;;
