;a;b;λ
q0;"λ,L,q1","λ,L,q2",",,"
q1;",,",",,","a,R,q3"
q2;",,",",,","b,R,q3"
q3;"a,R,q4","b,R,q12",",R,"
q4;"a,L,q8","b,L,q8","λ,L,q5"
q5;"λ,N,q6",",,",",,"
q6;"a,N,q7","b,N,q7",",L,"
q7;",L,",",L,","a,N,!"
q8;"λ,N,q9",",,",",,"
q9;"a,N,q10","b,N,q10",",L,"
q10;",L,",",L,","a,N,q11"
q11;",R,",",R,","λ,N,q3"
q12;"a,L,q16","b,L,q16","λ,L,q13"
q13;",,","λ,N,q14",",,"
q14;"a,N,q15","b,N,q15",",L,"
q15;",L,",",L,","b,N,!"
q16;",,","λ,N,q17",",,"
q17;"a,N,q18","b,N,q18",",L,"
q18;",L,",",L,","b,N,q19"
q19;",R,",",R,","λ,N,q3"
