01.01.2022; - дата начала года;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;1-я часть ;;;;2-я часть ;;;;3-я часть ;;;;4-я часть ;;;;Всего дней;;
Сотрудник;Должность;Начало года;Столбец1;Дата начала1;Продолжи- тельность1, дней;Дата конца1;Столбец2;Дата начала2;Продолжи- тельность2, дней;Дата конца2;Столбец6;Дата начала3;Продолжи- тельность3, дней;Дата конца3;Столбец10;Дата начала4;Продолжи- тельность4, дней;Дата конца4;Положе- но за год;Израсхо- довано;Оста- лось
Сотрудник 1;Junior;01.01.2022;Столбец2;01.01.2022;8;09.01.2022;#ЗНАЧ!;07.03.2022;2;09.03.2022;#ЗНАЧ!;02.05.2022;2;04.05.2022;#ЗНАЧ!;09.05.2022;2;11.05.2022;17;14 ;3 
Сотрудник 2;Senior;01.01.2022;Столбец3;01.01.2022;6;07.01.2022;#ЗНАЧ!;07.03.2022;1;08.03.2022;#ЗНАЧ!;02.05.2022;1;03.05.2022;#ЗНАЧ!;09.05.2022;2;11.05.2022;17;10 ;7 
Сотрудник 3;Junior;01.01.2022;Столбец4;01.01.2022;8;09.01.2022;#ЗНАЧ!;07.03.2022;2;09.03.2022;#ЗНАЧ!;02.05.2022;2;04.05.2022;#ЗНАЧ!;09.05.2022;2;11.05.2022;17;14 ;3 
Сотрудник 4;Junior;01.01.2022;Столбец5;01.01.2022;8;09.01.2022;#ЗНАЧ!;07.03.2022;2;09.03.2022;#ЗНАЧ!;02.05.2022;2;04.05.2022;#ЗНАЧ!;09.05.2022;2;11.05.2022;17;14 ;3 
Сотрудник 5;Junior;01.01.2022;Столбец6;01.01.2022;8;09.01.2022;#ЗНАЧ!;07.03.2022;2;09.03.2022;#ЗНАЧ!;02.05.2022;2;04.05.2022;#ЗНАЧ!;09.05.2022;2;11.05.2022;17;14 ;3 
Сотрудник 6;Middle;01.01.2022;Столбец7;01.01.2022;7;08.01.2022;;07.03.2022;1;08.03.2022;;02.05.2022;2;04.05.2022;;09.05.2022;2;11.05.2022;17;12 ;5 
Сотрудник 7;Junior;01.01.2022;1;01.01.2022;8;09.01.2022;;07.03.2022;2;09.03.2022;;02.05.2022;2;04.05.2022;;09.05.2022;2;11.05.2022;17;14 ;3 
Сотрудник 8;Junior;01.01.2022;1;01.01.2022;8;09.01.2022;;07.03.2022;2;09.03.2022;;02.05.2022;2;04.05.2022;;09.05.2022;2;11.05.2022;17;14 ;3 
;;;;;;;;;;;;;;;;;;;;;
