01.01.2022;#ИМЯ?;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Сотрудник;Должность;Начало года;Дата начала1;Продолжи- тельность1, дней;Дата конца1;helper;Дата начала2;Продолжи- тельность2, дней;Дата конца2;helper 2;Дата начала3;Продолжи- тельность3, дней;Дата конца3;helper 3;Дата начала4;Продолжи- тельность4, дней;Дата конца4;Положе- но за год;Израсхо- довано;Осталось
Сотрудник 1;хацкер 1 ур.;01.01.2022;03.01.2022;5;13.01.2022;92;05.04.2022;12;17.04.2022;38;13.05.2022;7;20.05.2022;133;23.09.2022;3;26.09.2022;33;27;6
Сотрудник 2;хацкер 2 ур.;01.01.2022;03.01.2022;10;18.01.2022;93;06.04.2022;11;17.04.2022;36;12.05.2022;8;20.05.2022;81;01.08.2022;5;06.08.2022;33;34;-1
Сотрудник 3;хацкер 3 ур.;01.01.2022;04.01.2022;10;18.01.2022;93;07.04.2022;12;19.04.2022;34;11.05.2022;9;20.05.2022;150;08.10.2022;7;15.10.2022;33;38;-5
Сотрудник 4;хацкер 4 ур.;01.01.2022;05.01.2022;5;13.01.2022;93;08.04.2022;9;17.04.2022;32;10.05.2022;10;20.05.2022;118;05.09.2022;10;15.09.2022;33;34;-1
Сотрудник 5;хацкер 5 ур.;01.01.2022;06.01.2022;10;18.01.2022;93;09.04.2022;8;17.04.2022;30;09.05.2022;3;12.05.2022;28;06.06.2022;4;10.06.2022;33;25;8
Сотрудник 6;хацкер 6 ур.;01.01.2022;07.01.2022;10;18.01.2022;93;10.04.2022;7;17.04.2022;28;08.05.2022;0;08.05.2022;83;30.07.2022;7;06.08.2022;33;24;9
Сотрудник 7;хацкер 7 ур.;01.01.2022;08.01.2022;2;10.01.2022;93;11.04.2022;3;14.04.2022;26;07.05.2022;13;21.05.2022;186;09.11.2022;4;13.11.2022;33;22;11
Сотрудник 8;хацкер 8 ур.;01.01.2022;09.01.2022;12;21.01.2022;93;12.04.2022;5;17.04.2022;24;06.05.2022;1;07.05.2022;190;12.11.2022;15;27.11.2022;33;33;0
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
График отпусков на 2022 год;;;;;;;;;;;;;;;;;;;;
