Занятия;Время(В), час.;Расход энергии(РЭ), ккал.;Здоровье(3д), hitpoints;Настроение(На), fun;Деньги(Д), руб.;Интеллект(И), IQ;План на расчётный период;;Стартовое здоровье (СЗ), hitpoints;50
Учёба;1,5;140;-2;-3;0;1,5;0;;Минимальное здоровье (МиЗ), hitpoints;0
Спорт;1;400;5;3;-100;0;0;;Максимальное здоровье (МаЗ), hitpoints;100
Пение;1;150;0;6;0;0;0;;;
Работа ;1;500;2;-4;200;-0,5;0;;Стартовое настроение (СН), fun;50
Отдых;1;0;4;8;0;0;0;;Минимальное настроение (МиНа), fun;0
;;;;;;;;;Максимальное настроение (маНа), fun;100
Еда;Цена (Це), руб.;Питательная ценность (ПиЦе), ккал.;Здоровье (Зд), hitpoints;Настроение (На), fun;;;;;;
Привокзальная шаурма;150;158;-3;10;0;;;;Стартовый коммуникасьон (СК), ОО;50
Манная каша;30;360;10;-2;0;;;;Минимальная коммуникасьон (СК), ОО;0
Ризотто;350;130;5;7;0;;;;Максимальный коммуникасьон (СК), ОО;100
Жареная картошка;100;185;-1;4;0;;;;;
Поке;700;146;7;7;0;;;;Стартовый бюджет (СБ), руб;5000
;;;;;;;;;Минимальный бюджет (МиБ), руб.;-100
Общение;Время (В), час.;Расход энергии (РЭ), ккал.;Настроение (На), fun;Интеллект (И), IQ;Коммуникасьон (К), ОО;;;;Максимальный бюжет (МаБ), руб.;1000000
Интеллектуальное;1;210;0;1;2;0;;;;
Развлекательное;1;73;6;0;3;0;;;Стартовый интеллект (СИ), IQ;100
Примитивное;1;31;3;-2;1;0;;;Минимальный интелелект (МиИ), IQ;80
;;;;;;;;;Максимальный интеллект (МаИ), IQ;140
Самый умный студент;;;;Самый здоровый среди самых счастливых;;;;;;
;Параметры к концу рассчётного периода;;План на расчётный период;;Параметры к концу расчётного периода;;План на расчётный период;;Обязательеный расход энергии в день (основной обмен) (ОРРЭД), ккал.;1500
Здоровье;100;Еда;;Здоровье;100;Еда;;;;
Настроение;92;Привокзальная шаурма;0;Настроение;100;Привокзальная шаурма;0;;Минимальный расход энергии в день (основной обмен) (МиРЭД), ккал.;500
Интеллект;140;Манная каша;6;Интеллект;117;Манная каша;3;;;
Бюджет;7718;Ризотто;0;Бюджет;8373;Ризотто;0;;;
Коммуникасьон;26;Жареная картошка;0;Коммуникасьон;6;Жареная картошка;0;;Количество дней для расчёта (КоД);30
Время;619;Поке;0;Время;640;Поке;0;;;
Ост. ккаллории;25745;Занятия;;Ост ккаллории;25898;Занятия;;;;
;;Учёба;17;;;Учёба;6;;;
;;Спорт;8;;;Спорт;8;;;
;;Пение;0;;;Пение;0;;;
;;Работа;18;;;Работа;21;;;
;;Отдых;0;;;Отдых;0;;;
;;Общение;;;;Общение;;;;
;;Интеллектуальное;24;;;Интеллектуальное;19;;;
;;Развлекательное;26;;;Развлеательное;23;;;
;;Примитивное;0;;;Примитивное;0;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Интеллект;Здоровье и счастье;;;;;;;;;
#ИМЯ?;#ИМЯ?;;;;;;;;;
13;13;;;;;;;;;
ЛОЖЬ;ИСТИНА;;;;;;;;;
ИСТИНА;ИСТИНА;;;;;;;;;
ИСТИНА;ИСТИНА;;;;;;;;;
ИСТИНА;ИСТИНА;;;;;;;;;
ИСТИНА;ИСТИНА;;;;;;;;;
ИСТИНА;ИСТИНА;;;;;;;;;
ИСТИНА;ИСТИНА;;;;;;;;;
ИСТИНА;ИСТИНА;;;;;;;;;
ИСТИНА;ИСТИНА;;;;;;;;;
ИСТИНА;ИСТИНА;;;;;;;;;
ИСТИНА;ИСТИНА;;;;;;;;;
ИСТИНА;ИСТИНА;;;;;;;;;
ИСТИНА;ИСТИНА;;;;;;;;;
32767;ИСТИНА;;;;;;;;;
0;ИСТИНА;;;;;;;;;
;32767;;;;;;;;;
;0;;;;;;;;;
